Date,Company Id,Expenditure(In lakhs),Profit (In lakhs),Employee salary and benefits (In lakhs),liabilities (In lakhs),R and D expenses (In lakhs),CSR (In lakhs),Employees,Location,Taxes (In lakhs)
2005-12-01,1,49.81329,68.6616,4.05,0.056146102416074,1.0867,0.411012628313986,10,mumbai,5.654493
2006-01-01,1,50.316402,69.7872,4.05,0.125138810715035,1.0867,0.411571623540071,10,bangalore,5.8412394
2006-02-01,1,55.168217,69.7872,4.05,0.146132557997584,1.0867,0.413629387758536,10,hyderabad,4.3856949
2006-03-01,1,55.4123,73.164,4.05,0.15095431197098,1.0867,0.414764616856502,10,mumbai,5.32551
2006-04-01,1,52.284027,73.164,4.05,0.156164537312713,1.0867,0.416053939504673,10,bangalore,6.2639919
2006-05-01,1,52.279045,76.5408,4.05,0.175913360038866,1.0867,0.417570572241287,10,bangalore,7.2785265
2006-06-01,1,53.848164,77.6664,4.05,0.250669700267695,1.0867,0.419220358166817,10,hyderabad,7.1454708
2006-07-01,1,52.443428,77.6664,4.05,0.273764650844294,1.0867,0.417834607237491,10,hyderabad,7.5668916
2006-08-01,1,50.958992,79.9176,4.05,0.435166373720736,1.0867,0.418668266558518,10,mumbai,8.6875824
2006-09-01,1,51.158245,81.0432,4.05,0.463075798382385,1.0867,0.4198541373176,10,bangalore,8.9654865
2006-10-01,1,49.409801,82.1688,4.05,0.506263448287844,1.0867,0.419078783868678,10,hyderabad,9.8276997
2006-11-01,1,50.286514,83.2944,4.05,0.531176256274873,1.0867,0.420053967326043,11,bangalore,9.9023658
2006-12-01,1,50.316402,83.2944,4.05,0.639477779150203,1.0867,0.422936129705543,11,mumbai,9.8933994
2007-01-01,1,50.181908,84.42,4.05,0.664160874536261,1.0867,0.424548067198357,12,bangalore,10.2714276
2007-02-01,1,51.073563,86.6712,4.05,0.704274189602581,1.0867,0.408108157433835,12,bangalore,10.6792911
2007-03-01,1,50.610298,90.048,4.05,0.724732286610229,1.0867,0.407422759427108,12,hyderabad,11.8313106
2007-04-01,1,53.11591,90.048,4.05,0.726409938280393,1.0867,0.411012628313986,12,hyderabad,11.079627
2007-05-01,1,53.524376,91.1736,4.05,0.752136537807667,1.0867,0.411571623540071,12,mumbai,11.2947672
2007-06-01,1,55.07357,91.1736,4.05,0.774396965905784,1.0867,0.413629387758536,12,bangalore,10.830009
2007-07-01,1,55.960247,92.2992,4.05,0.862304438310029,1.0867,0.414764616856502,12,hyderabad,10.9016859
2007-08-01,1,56.996365,92.2992,4.05,0.967753118747516,1.0867,0.416053939504673,12,bangalore,10.5908505
2007-09-01,1,58.256641,93.4248,4.05,0.969425197916931,1.0867,0.417570572241287,12,mumbai,10.5504477
2007-10-01,1,59.681301,94.5504,4.05,0.983672292013004,1.0867,0.419220358166817,12,bangalore,10.4607297
2007-11-01,1,58.480801,96.8016,4.05,1.03707928805859,1.0867,0.417834607237491,11,bangalore,11.4962397
2007-12-01,1,59.198112,99.0528,4.05,1.05053997313021,1.0867,0.418668266558518,11,hyderabad,11.9564064
2008-01-01,1,60.24419,99.0528,4.05,1.06145291280855,1.0867,0.4198541373176,11,hyderabad,11.642583
2008-02-01,1,59.556767,100.1784,4.05,1.30102258392218,1.0867,0.419078783868678,11,mumbai,12.1864899
2008-03-01,1,60.423519,101.304,4.05,1.30323951070824,1.0867,0.420053967326043,11,bangalore,12.2641443
2008-04-01,1,63.113434,101.304,4.05,1.30728965095487,1.0867,0.422936129705543,11,hyderabad,11.4571698
2008-05-01,1,64.707458,102.4296,4.05,1.41272386303478,2.1734,0.424548067198357,11,bangalore,11.3166426
2008-06-01,1,65.155777,103.5552,4.05,1.6399731584383,2.1734,0.424989345551869,11,mumbai,11.5198269
2008-07-01,1,67.372475,106.932,4.05,1.72951512182397,2.1734,0.427097507717363,11,bangalore,11.8678575
2008-08-01,1,67.078575,106.932,4.05,1.75690670517448,2.1734,0.426824837431832,11,bangalore,11.9560275
2008-09-01,1,68.518173,108.0576,4.05,1.90556756702484,2.1734,0.428141323596578,11,hyderabad,11.8618281
2008-10-01,1,68.204353,108.0576,4.05,2.26666227895666,2.1734,0.427858394384056,12,hyderabad,11.9559741
2008-11-01,1,69.10099,109.1832,4.05,2.29629008169485,2.1734,0.428660925876965,13,mumbai,12.024663
2008-12-01,1,68.244202,110.3088,4.05,2.30840017530733,2.1734,0.427894444288251,13,bangalore,12.6193794
2009-01-01,1,66.968987,110.3088,4.05,2.37693612314386,2.1734,0.426722642666459,13,hyderabad,13.0019439
2009-02-01,1,71.392403,110.3088,4.05,2.43470828536435,2.1734,0.430632967655673,13,bangalore,11.6749191
2009-03-01,1,70.241714,111.4344,4.05,2.4405828268282,2.1734,0.429656478698257,13,mumbai,12.3578058
2009-04-01,1,72.194397,112.56,4.05,2.48335388152122,2.1734,0.431297670977903,13,bangalore,12.1096809
2009-05-01,1,71.332626,112.56,4.05,2.53478096698647,2.1734,0.430582908237148,13,bangalore,12.3682122
2009-06-01,1,74.969002,114.8112,4.05,2.61874424492406,2.1734,0.433502181510086,13,hyderabad,11.9526594
2009-07-01,1,73.738609,114.8112,5.0625,2.75389132815211,2.1734,0.432542306034112,13,hyderabad,12.3217773
2009-08-01,1,71.930389,114.8112,5.0625,2.79944039806943,2.1734,0.431080268605724,13,mumbai,12.8642433
2009-09-01,1,84.951584,114.8112,5.0625,2.81600114257895,2.1734,0.440384597519933,13,bangalore,8.9578848
2009-10-01,1,87.870636,117.0624,5.0625,2.88970389015958,2.1734,0.442135823705506,12,hyderabad,8.7575292
2009-11-01,1,92.822083,118.188,5.0625,2.90066955546792,2.1734,0.444882235528215,12,bangalore,7.6097751
2009-12-01,1,91.018837,119.3136,5.0625,2.94418547782002,2.1734,0.443912746493603,12,mumbai,8.4884289
2010-01-01,1,92.991447,119.3136,5.0625,3.02231493914259,2.1734,0.444971572649386,12,bangalore,7.8966459
2010-02-01,1,99.073647,120.4392,5.0625,3.06209742777874,2.1734,0.447998459343572,12,bangalore,6.4096659
2010-03-01,1,96.41362,120.4392,5.0625,3.06836573049845,2.1734,0.4467166424405,12,hyderabad,7.207674
2010-04-01,1,99.018852,121.5648,5.0625,3.09999957281918,2.1734,0.44797267709585,12,hyderabad,6.7637844
2010-05-01,1,98.719971,122.6904,5.0625,3.15474235761437,2.1734,0.44783159578222,12,mumbai,7.1911287
2010-06-01,1,93.868156,122.6904,5.0625,3.28449729244801,2.1734,0.445429433158155,12,bangalore,8.6466732
2010-07-01,1,90.650223,123.816,5.0625,3.45339340317916,2.1734,0.443710352937751,12,hyderabad,9.9497331
2010-08-01,1,85.145851,123.816,5.0625,3.58469523125141,2.1734,0.440504429931503,12,bangalore,11.6010447
2010-09-01,1,86.724937,124.9416,5.0625,3.66022905467484,2.1734,0.441460893988662,13,mumbai,11.4649989
2010-10-01,1,85.016335,126.0672,5.0625,3.68751943200092,2.1734,0.440424592375995,14,bangalore,12.3152595
2010-11-01,1,84.249214,127.1928,5.0625,3.74754951613039,2.1734,0.439947287713505,14,bangalore,12.8830758
2010-12-01,1,92.26915,127.1928,5.0625,3.78396447531811,2.1734,0.444588541006648,14,hyderabad,10.477095
2011-01-01,1,89.888077,127.1928,5.0625,3.80879024468844,2.1734,0.443287217095557,14,hyderabad,11.1914169
2011-02-01,1,88.418587,128.3184,5.0625,3.82876339392773,3.2601,0.442453149382507,14,mumbai,11.9699439
2011-03-01,1,84.19442,129.444,5.0625,3.91674792193117,3.2601,0.439912901922599,14,bangalore,13.574874
2011-04-01,1,84.827049,129.444,5.0625,3.96512467615909,3.2601,0.440307524628934,14,hyderabad,13.3850853
2011-05-01,1,84.234268,131.6952,5.0625,4.10793975126232,3.2601,0.439937912305341,14,bangalore,14.2382796
2011-06-01,1,81.927917,133.9464,5.0625,4.18879515003152,3.2601,0.438455226396624,14,mumbai,15.6055449
2011-07-01,1,83.671379,135.072,5.0625,4.26184605026153,3.2601,0.439582676426281,14,bangalore,15.4201863
2011-08-01,1,87.083588,135.072,5.0625,4.2888924623644,3.2601,0.441673861576229,14,bangalore,14.3965236
2011-09-01,1,87.571762,136.1976,5.0625,4.43009441125415,3.2601,0.441961262382716,13,hyderabad,14.5877514
2011-10-01,1,89.843246,136.1976,5.0625,4.47915944450023,3.2601,0.443262129180271,13,hyderabad,13.9063062
2011-11-01,1,90.017593,136.1976,5.0625,4.488966590235,3.2601,0.443359571182898,13,mumbai,13.8540021
2011-12-01,1,90.635277,138.4488,6.075,4.48954571387021,3.2601,0.443702115773378,13,bangalore,14.3440569
2012-01-01,1,89.614105,138.4488,6.075,4.49978436245305,3.2601,0.443133551941146,13,hyderabad,14.6504085
2012-02-01,1,89.639008,139.5744,6.075,4.57741424113225,3.2601,0.44314755390917,13,bangalore,14.9806176
2012-03-01,1,89.230545,139.5744,6.075,4.657575212789,3.2601,0.442917016879041,13,mumbai,15.1031565
2012-04-01,1,87.671387,140.7,6.075,4.66006386951508,3.2601,0.442019566591319,13,bangalore,15.9085839
2012-05-01,1,84.856934,140.7,6.075,4.69001614051459,3.2601,0.440326038186313,13,bangalore,16.7529198
2012-06-01,1,84.807121,141.8256,6.075,4.70293793691597,3.2601,0.44029517298103,13,hyderabad,17.1055437
2012-07-01,1,86.391182,144.0768,6.075,4.76735511101223,3.2601,0.441261307887773,13,hyderabad,17.3056854
2012-08-01,1,85.763535,144.0768,6.075,4.7700546574582,3.2601,0.440882263841223,14,mumbai,17.4939795
2012-09-01,1,85.180725,144.0768,6.075,4.77683669121746,3.2601,0.440525890760542,15,bangalore,17.6688225
2012-10-01,1,88.662674,145.2024,6.075,4.86956972892886,3.2601,0.442593385635851,15,hyderabad,16.9619178
2012-11-01,1,88.144615,145.2024,6.075,4.88937147650639,3.2601,0.442294924818566,15,bangalore,17.1173355
2012-12-01,1,88.049965,145.2024,6.075,5.36949877627055,3.2601,0.442240060054265,15,mumbai,17.1457305
2013-01-01,1,90.660187,146.328,6.075,5.38713747511384,3.2601,0.443715843041673,15,bangalore,16.7003439
2013-02-01,1,92.807137,146.328,6.075,5.50564115372301,3.2601,0.444874337793396,15,bangalore,16.0562589
2013-03-01,1,91.606636,146.328,6.075,5.53944481176047,3.2601,0.444232493435243,15,hyderabad,16.4164092
2013-04-01,1,93.375008,147.4536,6.075,5.55078047333943,3.2601,0.445172828973706,15,hyderabad,16.2235776
2013-05-01,1,94.221832,148.5792,6.075,5.55876540292763,3.2601,0.445611990530017,15,mumbai,16.3072104
2013-06-01,1,95.696304,149.7048,6.075,5.56061501708382,3.2601,0.446360090922538,15,bangalore,16.2025488
2013-07-01,1,95.531921,149.7048,6.075,5.65578732725383,3.2601,0.446277709058403,15,hyderabad,16.2518637
2013-08-01,1,96.124702,150.8304,6.075,5.81863386378102,4.3468,0.446573603520872,14,bangalore,16.4117094
2013-09-01,1,99.243011,151.956,6.075,5.84511826018714,4.3468,0.448077987512909,14,mumbai,15.8138967
2013-10-01,1,98.331429,151.956,6.075,5.93907995681814,4.3468,0.447647043725526,14,bangalore,16.0873713
2013-11-01,1,100.323959,153.0816,6.075,5.99358393059145,4.3468,0.44857989243611,14,bangalore,15.8272923
2013-12-01,1,96.363808,154.2072,6.075,6.07072340727021,4.3468,0.446692035942213,14,hyderabad,17.3530176
2014-01-01,1,97.175758,155.3328,6.075,6.0792426436026,4.3468,0.447090316131036,14,hyderabad,17.4471126
2014-02-01,1,94.96405,155.3328,7.0875,6.32512939022619,4.3468,0.445991158517828,14,mumbai,18.110625
2014-03-01,1,96.886841,155.3328,7.0875,6.34110590194152,4.3468,0.446949279571678,14,bangalore,17.5337877
2014-04-01,1,97.444756,155.3328,7.0875,6.45607754504117,4.3468,0.447220956647055,14,hyderabad,17.3664132
2014-05-01,1,96.802162,156.4584,7.0875,6.48935316840427,4.3468,0.44690780041861,14,bangalore,17.8968714
2014-06-01,1,97.325203,156.4584,7.0875,6.71013500760231,4.3468,0.44716297473849,14,mumbai,17.7399591
2014-07-01,1,97.634041,159.8352,7.0875,6.73619335989822,4.3468,0.447312498031664,15,bangalore,18.6603477
2014-08-01,1,100.109764,160.9608,7.0875,6.88795861996226,4.3468,0.448481209941453,16,bangalore,18.2553108
2014-09-01,1,101.942894,160.9608,7.0875,6.94100825090369,4.3468,0.449313704920116,16,hyderabad,17.7053718
2014-10-01,1,95.890579,160.9608,7.0875,7.00985217094784,4.3468,0.446457128236547,16,hyderabad,19.5210663
2014-11-01,1,96.906769,163.212,7.0875,7.0129829453471,4.3468,0.446959031681869,16,mumbai,19.8915693
2014-12-01,1,93.992691,163.212,7.0875,7.02393365575361,4.3468,0.445493854166636,16,bangalore,20.7657927
2015-01-01,1,90.630295,164.3376,7.0875,7.03298193913027,4.3468,0.443699369516166,16,hyderabad,22.1121915
